Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch 134, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=1.264, TAw acc= 68.0% |
| Epoch 135, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.265, TAw acc= 67.8% |
| Epoch 136, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=1.281, TAw acc= 67.6% |
| Epoch 137, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.273, TAw acc= 67.0% |
| Epoch 138, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.272, TAw acc= 67.4% |
| Epoch 139, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.278, TAw acc= 67.2% |
| Epoch 140, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.280, TAw acc= 67.2% |
| Epoch 141, time=  2.7s | Train: skip eval | Valid: time=  0.8s loss=1.280, TAw acc= 67.8% |
| Epoch 142, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.279, TAw acc= 68.0% |
| Epoch 143, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.274, TAw acc= 67.4% |
| Epoch 144, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.271, TAw acc= 68.0% |
| Epoch 145, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.278, TAw acc= 68.2% |
| Epoch 146, time=  2.7s | Train: skip eval | Valid: time=  0.8s loss=1.260, TAw acc= 68.2% |
| Epoch 147, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.279, TAw acc= 68.6% |
| Epoch 148, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.268, TAw acc= 68.2% |
| Epoch 149, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.273, TAw acc= 68.0% |
| Epoch 150, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.284, TAw acc= 67.0% |
| Epoch 151, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=1.281, TAw acc= 66.9% |
| Epoch 152, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.289, TAw acc= 66.7% |
| Epoch 153, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.268, TAw acc= 67.8% |
| Epoch 154, time=  2.8s | Train: skip eval | Valid: time=  0.9s loss=1.264, TAw acc= 68.2% |
| Epoch 155, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=1.266, TAw acc= 67.8% |
| Epoch 156, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.271, TAw acc= 67.2% |
| Epoch 157, time=  2.7s | Train: skip eval | Valid: time=  0.8s loss=1.278, TAw acc= 68.2% |
| Epoch 158, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.288, TAw acc= 67.6% |
| Epoch 159, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.298, TAw acc= 67.8% |
| Epoch 160, time=  2.7s | Train: skip eval | Valid: time=  0.8s loss=1.283, TAw acc= 68.4% |
| Selected 832 train exemplars, time=  5.3s
| Epoch   1, time=  1.5s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.498, TAw acc= 64.6% | * lr=1.0e-01
| Epoch   2, time=  1.6s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.516, TAw acc= 64.4% | lr=9.9e-02
| Epoch   3, time=  1.6s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.538, TAw acc= 63.4% | lr=9.8e-02
| Epoch   4, time=  1.5s | Train: skip eval |stage2 Valid: time=  0.6s loss=1.525, TAw acc= 64.8% | lr=9.6e-02
| Epoch   5, time=  1.6s | Train: skip eval |stage2 Valid: time=  0.8s loss=1.548, TAw acc= 64.0% | lr=9.3e-02
| Epoch   6, time=  1.6s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.565, TAw acc= 63.8% | lr=9.0e-02
| Epoch   7, time=  1.5s | Train: skip eval |stage2 Valid: time=  0.6s loss=1.560, TAw acc= 64.2% | lr=8.7e-02
| Epoch   8, time=  1.6s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.565, TAw acc= 64.8% | lr=8.3e-02
| Epoch   9, time=  1.7s | Train: skip eval |stage2 Valid: time=  0.8s loss=1.575, TAw acc= 62.5% | lr=7.9e-02
| Epoch  10, time=  1.8s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.553, TAw acc= 64.0% | lr=7.5e-02
| Epoch  11, time=  1.7s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.546, TAw acc= 64.4% | lr=7.0e-02
| Epoch  12, time=  1.7s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.556, TAw acc= 65.7% | lr=6.5e-02
| Epoch  13, time=  1.8s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.530, TAw acc= 65.5% | lr=6.0e-02
| Epoch  14, time=  1.5s | Train: skip eval |stage2 Valid: time=  0.6s loss=1.533, TAw acc= 65.7% | lr=5.5e-02
| Epoch  15, time=  1.5s | Train: skip eval |stage2 Valid: time=  0.6s loss=1.576, TAw acc= 65.0% | lr=5.0e-02
| Epoch  16, time=  1.5s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.581, TAw acc= 64.4% | lr=4.5e-02
| Epoch  17, time=  1.4s | Train: skip eval |stage2 Valid: time=  0.6s loss=1.570, TAw acc= 64.6% | lr=4.0e-02
| Epoch  18, time=  1.4s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.564, TAw acc= 64.8% | lr=3.5e-02
| Epoch  19, time=  1.6s | Train: skip eval |stage2 Valid: time=  0.7s loss=1.564, TAw acc= 65.1% | lr=3.0e-02
| Epoch  20, time=  1.1s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.581, TAw acc= 64.6% | lr=2.5e-02
| Epoch  21, time=  1.0s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.575, TAw acc= 65.0% | lr=2.1e-02
| Epoch  22, time=  1.1s | Train: skip eval |stage2 Valid: time=  0.6s loss=1.568, TAw acc= 65.0% | lr=1.7e-02
| Epoch  23, time=  1.0s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.572, TAw acc= 65.1% | lr=1.3e-02
| Epoch  24, time=  1.0s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.567, TAw acc= 65.3% | lr=9.5e-03
| Epoch  25, time=  1.0s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.560, TAw acc= 65.0% | lr=6.7e-03
| Epoch  26, time=  1.1s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.562, TAw acc= 65.0% | lr=4.3e-03
| Epoch  27, time=  1.1s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.559, TAw acc= 65.1% | lr=2.4e-03
| Epoch  28, time=  1.1s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.559, TAw acc= 65.0% | lr=1.1e-03
| Epoch  29, time=  1.1s | Train: skip eval |stage2 Valid: time=  0.5s loss=1.559, TAw acc= 65.0% | lr=2.7e-04
| Epoch  30, time=  1.0s | Train: skip eval |stage2 Valid: time=  0.6s loss=1.559, TAw acc= 65.0% | lr=0.0e+00
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.614 | TAw acc= 44.0%, forg=  0.0%| TAg acc= 44.0%, forg=  0.0% <<<
Save at /home/wlwang/sy/Long-Tailed-CIL-improve/cifar100/50base_11tasks/cifar100_lt_lucir_2stage_no_gs_fixd_0
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=7.371, TAw acc= 35.9% | *
| Epoch   2, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=3.041, TAw acc= 84.6% | *
| Epoch   3, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=3.238, TAw acc= 76.9% |
| Epoch   4, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=3.750, TAw acc= 89.7% |
| Epoch   5, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=2.159, TAw acc= 79.5% | *
| Epoch   6, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=2.163, TAw acc= 87.2% |
| Epoch   7, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=2.235, TAw acc= 94.9% |
| Epoch   8, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=1.440, TAw acc= 97.4% | *
| Epoch   9, time=  1.3s | Train: skip eval | Valid: time=  0.4s loss=1.531, TAw acc= 97.4% |
