Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch 159, time= 12.5s | Train: skip eval | Valid: time=  1.7s loss=0.830, TAw acc= 76.9% |
| Epoch 160, time= 12.5s | Train: skip eval | Valid: time=  2.2s loss=0.836, TAw acc= 76.3% |
| Selected 1000 train exemplars, time= 33.5s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.871 | TAw acc= 75.1%, forg=  0.0%| TAg acc= 75.1%, forg=  0.0% <<<
Save at /home/wlwang/sy/Long-Tailed-CIL-improve/cifar100/50base_11tasks/cifar100_conv_lucir_no_gs_fixd_0
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time=  3.4s | Train: skip eval | Valid: time=  1.1s loss=3.181, TAw acc= 55.2% | *
